"Above the clouds";"-18000";"91637874"
"Alabama the Beautiful";"-21600";"2347559"
"Albany, NY";"-18000";"2352646"
"America";"-14400";"23424977"
"America- Land of the Free";"0";"23424977"
"AnonymousCountry";"7200";"null"
"Apalachicola, Florida";"-18000";"2355206"
"Arizona, USA";"-25200";"2347561"
"Arlington, VA | New York, NY ";"-14400";"2355942"
"Around the world";"-14400";"1"
"Asbury Park, NJ";"-14400";"2356439"
"Aspen, CO";"-21600";"2356801"
"Atlanta, GA";"-28800";"2357024"
"Austin, TX";"-18000";"2357536"
"Austin, Texas";"-18000";"2357536"
"Baltimore";"-18000";"2358820"
"Barnstable, MA";"-10800";"2359460"
"Be Ignorant or Be Prepared";"-18000";"23424757"
"Borger, Texas";"0";"2367009"
"Boston MA USA";"-14400";"2367105"
"Bowling Green, Ky.";"-18000";"2367481"
"Brandon, Florida";"-18000";"2368145"
"Brooklyn NY";"-14400";"12589335"
"Cairo, Egypt";"7200";"1521894"
"Canada";"-14400";"23424775"
"Capitol Hill, Washington D.C.";"-14400";"2374725"
"Charlotte, NC";"-18000";"2378426"
"Chicago Suburbs";"-18000";"2379574"
"Chicago, IL";"0";"2379574"
"Cincinnati";"-18000";"2380358"
"Colorado";"-25200";"2347564"
"Columbia, TN";"-18000";"2383551"
"Connersville, In. ";"0";"2384251"
"Crawfordsville, IN";"-14400";"2386796"
"Dallas, TX";"-14400";"2388929"
"Del Mar, CA";"-25200";"2390684"
"Detroit,MI USA";"-14400";"2391585"
"Dublin";"0";"560743"
"EIC";"-18000";"null"
"European Union, Amsterdam";"0";"727232"
"Everett, WA";"-25200";"2400849"
"Everywhere";"3600";"null"
"Fairfield, IA";"-18000";"2401422"
"Fargo, ND";"-18000";"2402292"
"Florida";"-14400";"2347568"
"Florida, USA";"-25200";"2347568"
"Freehold, Iowa";"-21600";"2347574"
"GET  BUZZED! ";"-25200";"null"
"Gauteng, South Africa";"0";"2346981"
"Glen Cove, NY";"-14400";"2410758"
"Global ";"-36000";"90079564"
"Grand Rapids, MI";"3600";"2412843"
"Greenfield, MA";"-14400";"2414303"
"Hannibal, MO";"-18000";"2417091"
"Hibbing, MN";"-18000";"2420639"
"Honolulu, Hawaii";"-36000";"2423945"
"Indianapolis, Indiana";"-14400";"2427032"
"Ireland";"3600";"23424803"
"Israel ";"-7200";"23424852"
"Japan";"-36000";"23424856"
"Kingsville, TX";"0";"2432840"
"Las Cruces, NM";"-18000";"2436669"
"Las Vegas, NV";"0";"2436704"
"Liberal America";"-18000";"2438910"
"Little Rock, AR";"-14400";"2440351"
"London";"-14400";"44418"
"London, UK";"3600";"44418"
"London, United Kingdom";"3600";"44418"
"Los Angeles";"-18000";"2442047"
"Los Angeles, CA";"-25200";"2442047"
"Los Angeles, California";"0";"2442047"
"Malibu, CA";"0";"2444458"
"Manassas, Virginia";"-14400";"2444625"
"McAllen, Texas";"-18000";"2447466"
"Mercer Island, WA";"-25200";"2449514"
"Messiah Way & Natural Law Dr.";"-18000";"null"
"Miami";"-14400";"2450022"
"Middletown, CT, USA";"-14400";"2450408"
"Mitchell SD";"-18000";"2452429"
"Montana";"-14400";"2347585"
"Montreal, Canada";"-25200";"3534"
"Morris, Ill.";"-18000";"2454257"
"Moscow, Russia";"7200";"2122265"
"Mountain View, CA";"-28800";"2455920"
"Mumbai";"19800";"2295411"
"Myrtle Beach, SC";"-14400";"2456750"
"N.Y.C";"-14400";"2459115"
"NH";"-18000";"2347588"
"NYC";"-14400";"2459115"
"NYC | Aspen";"-14400";"2459115"
"Nantucket, MA";"0";"2456968"
"Naples, FL";"-14400";"2457027"
"New York";"0";"2459115"
"New York City";"-14400";"2459115"
"New York City / Worldwide";"-14400";"2459115"
"New York City, NY, USA";"-14400";"2459115"
"New York and the World";"-14400";"2459115"
"New York, NY";"-14400";"2459115"
"New York, USA";"-14400";"2459115"
"New Zealand";"3600";"23424916"
"North America";"-14400";"24865672"
"Not the Isle of Wight";"-25200";"56899599"
"Oakton, Virginia";"-14400";"2463809"
"Ocala, FL";"-25200";"2464029"
"Online";"-18000";"90564430"
"Oswego County, NY";"-14400";"12589349"
"Outer Space";"-25200";"91652174"
"PDX";"-25200";"12521453"
"Pacific Northwest";"-25200";"23689943"
"Penn Valley, CA USA";"-25200";"23417142"
"Philadelphia, PA";"-14400";"2471217"
"Philippines";"28800";"23424934"
"Planet Earth";"10800";"1"
"Plano, TX";"-18000";"2473475"
"Portland, Oregon";"-25200";"2475687"
"Powder Springs, GA";"-14400";"2476046"
"Republic of Texas ";"0";"2347602"
"Rockford, IL";"-18000";"2483357"
"Rockford, Illinois";"-18000";"2483357"
"Rosenberg, TX";"-18000";"2484812"
"Russia";"10800";"23424936"
"Russia & US";"-14400";"null"
"Sacramento, CA";"-25200";"2486340"
"Salt Lake City, Utah";"-21600";"2487610"
"San Antonio, Texas";"-25200";"2487796"
"San Diego, California";"-25200";"2487889"
"San Francisco";"-25200";"2487956"
"Seattle, USA";"-25200";"2490383"
"Singapore";"28800";"23424948"
"Somewhere Out There...";"-25200";"56618651"
"South Florida";"-14400";"23689683"
"St Neots";"0";"35749"
"St. Louis, Missouri";"-18000";"2486982"
"Statesboro GA";"-14400";"2499303"
"Sydney";"-36000";"1105779"
"Sydney, Australia";"39600";"1105779"
"Texas";"-25200";"2347602"
"The First State";"-25200";"90164615"
"The Globe";"-18000";"56847922"
"The Matrix";"-14400";"91300231"
"The United States of America";"-25200";"23424977"
"Toronto, Canada";"-14400";"4118"
"Tucson, AZ";"-25200";"2508428"
"U.S.A.";"-14400";"23424977"
"UK";"0";"23424975"
"UNITED STATES of AMERICA";"-10800";"23424977"
"USA";"-25200";"23424977"
"USA TODAY HQ, McLean, Va.";"-14400";"2448240"
"United Kingdom";"3600";"23424975"
"United States";"-18000";"23424977"
"United States of America";"28800";"23424977"
"Vancouver B.C.";"-25200";"9807"
"Vancouver, British Columbia";"-25200";"9807"
"Visit us at";"-14400";"23424977"
"Wahpeton, ND";"-18000";"2513135"
"Washing DC";"-18000";"2514815"
"Washington";"-18000";"2514815"
"Washington County, Neb.";"-18000";"12589226"
"Washington DC";"-14400";"2514815"
"Washington, D.C.";"-14400";"2514815"
"Washington, DC";"-14400";"2514815"
"Washington, DC (USA)";"-14400";"2514815"
"Waterford";"3600";"562477"
"West Palm Beach, FL";"-14400";"2517521"
"WorldWideWeb";"0";"null"
"Worldwide";"39600";"null"
"news world";"16200";"1"
